iter	Passed	Remaining
278	29701	76756
279	29807	76648
280	29916	76547
281	30027	76452
282	30131	76339
283	30232	76219
284	30335	76105
285	30438	75990
286	30542	75876
287	30645	75762
288	30749	75650
289	30853	75537
290	30958	75429
291	31090	75384
292	31224	75344
293	31354	75293
294	31482	75237
295	31601	75159
296	31736	75120
297	31856	75045
298	31987	74994
299	32109	74921
300	32258	74913
301	32404	74896
302	32528	74825
303	32655	74764
304	32785	74707
305	32917	74655
306	33044	74592
307	33189	74567
308	33313	74497
309	33439	74429
310	33562	74354
311	33691	74294
312	33817	74224
313	33950	74173
314	34108	74173
315	34255	74147
316	34420	74161
317	34635	74281
318	34798	74286
319	34940	74248
320	35071	74184
321	35202	74122
322	35350	74094
323	35486	74039
324	35627	73996
325	35767	73949
326	35909	73906
327	36041	73840
328	36181	73791
329	36315	73731
330	36438	73646
331	36559	73560
332	36685	73480
333	36806	73391
334	36940	73330
335	37068	73254
336	37196	73178
337	37322	73099
338	37446	73016
339	37568	72926
340	37689	72837
341	37803	72733
342	37927	72647
343	38052	72564
344	38176	72480
345	38313	72418
346	38443	72345
347	38570	72263
348	38708	72203
349	38837	72126
350	38960	72038
351	39089	71959
352	39217	71879
353	39340	71790
354	39468	71710
355	39583	71606
356	39707	71517
357	39822	71413
358	39941	71316
359	40056	71210
360	40175	71113
361	40289	71008
362	40411	70915
363	40528	70813
364	40642	70706
365	40761	70608
366	40878	70507
367	40990	70397
368	41107	70294
369	41225	70195
370	41342	70092
371	41450	69976
372	41561	69862
373	41677	69759
374	41792	69653
375	41903	69542
376	42010	69423
377	42118	69305
378	42223	69184
379	42329	69064
380	42436	68945
381	42541	68824
382	42646	68701
383	42752	68581
384	42859	68463
385	42964	68341
386	43068	68219
387	43173	68098
388	43282	67983
389	43388	67864
390	43494	67744
391	43599	67623
392	43703	67501
393	43808	67381
394	43911	67257
395	44019	67140
396	44125	67021
397	44230	66900
398	44335	66781
399	44441	66661
400	44547	66542
401	44653	66424
402	44762	66310
403	44868	66192
404	44990	66097
405	45115	66005
406	45227	65896
407	45333	65778
408	45438	65658
409	45557	65558
410	45663	65440
411	45769	65321
412	45875	65202
413	45980	65083
414	46084	64961
415	46190	64844
416	46296	64726
417	46406	64613
418	46521	64508
419	46630	64394
420	46744	64287
421	46854	64174
422	46958	64053
423	47061	63933
424	47166	63812
425	47286	63714
426	47400	63607
427	47508	63492
428	47619	63381
429	47729	63268
430	47840	63158
431	47947	63041
432	48052	62923
433	48160	62808
434	48265	62689
435	48373	62574
436	48478	62456
437	48582	62336
438	48687	62217
439	48794	62101
440	48900	61984
441	49006	61867
442	49112	61750
443	49218	61633
444	49326	61519
445	49431	61401
446	49539	61287
447	49644	61169
448	49751	61054
449	49860	60940
450	49974	60833
451	50085	60723
452	50193	60608
453	50302	60496
454	50411	60382
455	50537	60290
456	50649	60180
457	50767	60078
458	50893	59985
459	51018	59891
460	51136	59788
461	51249	59679
462	51361	59570
463	51472	59459
464	51586	59352
465	51708	59253
466	51820	59143
467	51941	59044
468	52060	58942
469	52173	58833
470	52290	58729
471	52401	58618
472	52511	58506
473	52620	58393
474	52731	58281
475	52835	58163
476	52940	58046
477	53048	57931
478	53153	57813
479	53256	57695
480	53361	57577
481	53467	57460
482	53572	57343
483	53677	57226
484	53784	57110
485	53891	56996
486	53996	56879
487	54100	56761
488	54206	56645
489	54309	56526
490	54411	56406
491	54515	56288
492	54619	56170
493	54736	56066
494	54839	55947
495	54941	55827
496	55046	55710
497	55150	55593
498	55253	55475
499	55362	55362
500	55464	55242
501	55568	55125
502	55672	55008
503	55776	54890
504	55895	54788
505	56016	54688
506	56146	54596
507	56254	54482
508	56372	54379
509	56485	54270
510	56589	54153
511	56693	54035
512	56802	53923
513	56915	53815
514	57026	53704
515	57137	53594
516	57254	53489
517	57363	53376
518	57470	53262
519	57577	53148
520	57688	53037
521	57801	52929
522	57908	52814
523	58015	52701
524	58123	52588
525	58238	52481
526	58355	52375
527	58481	52278
528	58595	52170
529	58727	52078
530	58859	51987
531	58979	51884
532	59097	51779
533	59216	51675
534	59327	51565
535	59438	51454
536	59551	51345
537	59662	51234
538	59775	51125
539	59891	51018
540	60007	50911
541	60126	50808
542	60254	50711
543	60376	50610
544	60501	50510
545	60619	50405
546	60735	50297
547	60842	50184
548	60946	50066
549	61052	49952
550	61166	49843
551	61291	49743
552	61420	49647
553	61539	49542
554	61645	49427
555	61749	49310
556	61853	49194
557	61958	49078
558	62064	48962
559	62167	48845
560	62271	48729
561	62376	48613
562	62479	48496
563	62582	48379
564	62688	48264
565	62792	48148
566	62900	48035
567	63007	47921
568	63111	47804
569	63217	47690
570	63322	47574
571	63426	47458
572	63532	47344
573	63640	47231
574	63743	47114
575	63847	46998
576	63951	46882
577	64058	46769
578	64161	46652
579	64265	46537
580	64369	46421
581	64479	46309
582	64582	46193
583	64692	46082
584	64795	45966
585	64899	45850
586	65002	45734
587	65105	45618
588	65209	45503
589	65314	45387
590	65419	45273
591	65525	45159
592	65631	45045
593	65737	44931
594	65840	44815
595	65947	44702
596	66054	44589
597	66158	44474
598	66261	44359
599	66366	44244
600	66472	44130
601	66576	44015
602	66681	43901
603	66785	43786
604	66891	43672
605	66994	43557
606	67099	43443
607	67202	43328
608	67309	43215
609	67414	43100
610	67520	42987
611	67629	42876
612	67733	42761
613	67837	42647
614	67940	42531
615	68047	42418
616	68150	42304
617	68253	42189
618	68358	42075
619	68463	41961
620	68568	41847
621	68674	41734
622	68781	41622
623	68885	41507
624	68992	41395
625	69099	41282
626	69204	41169
627	69312	41057
628	69417	40944
629	69521	40830
630	69627	40717
631	69733	40604
632	69838	40491
633	69945	40378
634	70050	40265
635	70154	40151
636	70258	40037
637	70362	39923
638	70470	39811
639	70576	39699
640	70681	39586
641	70790	39475
642	70896	39362
643	71000	39248
644	71105	39135
645	71208	39021
646	71312	38907
647	71416	38793
648	71520	38680
649	71625	38567
650	71734	38456
651	71837	38342
652	71941	38229
653	72050	38118
654	72155	38005
655	72261	37893
656	72366	37780
657	72467	37665
658	72572	37552
659	72677	37439
660	72785	37328
661	72889	37215
662	72994	37102
663	73098	36989
664	73202	36876
665	73307	36763
666	73412	36651
667	73526	36543
668	73631	36430
669	73736	36318
670	73839	36204
671	73944	36092
672	74051	35980
673	74154	35867
674	74256	35753
675	74362	35641
676	74467	35528
677	74572	35416
678	74677	35303
679	74782	35191
680	74887	35079
681	74993	34967
682	75102	34857
683	75206	34744
684	75311	34632
685	75415	34519
686	75517	34406
687	75622	34294
688	75729	34182
689	75833	34070
690	75936	33957
691	76042	33845
692	76147	33733
693	76252	33621
694	76355	33508
695	76459	33395
696	76563	33283
697	76669	33172
698	76774	33060
699	76890	32953
700	76997	32841
701	77103	32730
702	77209	32619
703	77314	32507
704	77419	32395
705	77526	32284
706	77635	32174
707	77745	32064
708	77850	31952
709	77957	31841
710	78077	31736
711	78190	31627
712	78309	31521
713	78422	31412
714	78534	31304
715	78648	31195
716	78759	31086
717	78868	30976
718	78977	30865
719	79084	30754
720	79193	30644
721	79301	30534
722	79410	30424
723	79515	30312
724	79634	30206
725	79757	30101
726	79871	29993
727	79978	29882
728	80085	29771
729	80190	29659
730	80295	29547
731	80400	29436
732	80503	29323
733	80611	29213
734	80722	29104
735	80826	28991
736	80930	28880
737	81035	28768
738	81151	28661
739	81257	28549
740	81362	28438
741	81466	28326
742	81570	28214
743	81675	28103
744	81782	27992
745	81887	27881
746	81993	27770
747	82097	27658
748	82201	27546
749	82307	27435
750	82410	27323
751	82516	27212
752	82623	27102
753	82731	26991
754	82837	26881
755	82943	26770
756	83047	26658
757	83152	26547
758	83261	26437
759	83367	26326
760	83476	26216
761	83579	26104
762	83687	25994
763	83795	25884
764	83901	25773
765	84008	25663
766	84122	25554
767	84235	25446
768	84359	25340
769	84479	25234
770	84597	25126
771	84721	25021
772	84841	24914
773	84961	24807
774	85067	24696
775	85177	24587
776	85289	24478
777	85400	24368
778	85518	24261
779	85628	24151
780	85742	24043
781	85855	23934
782	85962	23823
783	86075	23714
784	86185	23604
785	86295	23495
786	86410	23386
787	86518	23276
788	86626	23166
789	86734	23055
790	86851	22948
791	86986	22844
792	87096	22735
793	87217	22628
794	87323	22517
795	87428	22406
796	87546	22298
797	87662	22190
798	87786	22083
799	87891	21972
800	88001	21862
801	88109	21752
802	88213	21641
803	88319	21530
804	88424	21419
805	88530	21308
806	88643	21199
807	88754	21090
808	88859	20979
809	88965	20868
810	89077	20759
811	89181	20648
812	89288	20537
813	89398	20427
814	89506	20317
815	89617	20207
816	89724	20097
817	89830	19986
818	89950	19879
819	90059	19769
820	90169	19659
821	90277	19549
822	90383	19438
823	90492	19328
824	90599	19218
825	90707	19107
826	90817	18998
827	90924	18887
828	91032	18777
829	91141	18667
830	91250	18557
831	91359	18447
832	91466	18337
833	91580	18228
834	91690	18118
835	91798	18008
836	91906	17898
837	92015	17788
838	92121	17677
839	92231	17567
840	92341	17458
841	92449	17347
842	92553	17237
843	92661	17127
844	92768	17016
845	92873	16905
846	92986	16796
847	93094	16686
848	93202	16576
849	93314	16467
850	93422	16357
851	93530	16247
852	93649	16138
853	93767	16030
854	93876	15920
855	93984	15810
856	94094	15700
857	94205	15591
858	94314	15481
859	94420	15370
860	94530	15260
861	94643	15151
862	94754	15042
863	94863	14932
864	94969	14821
865	95079	14712
866	95188	14602
867	95295	14491
868	95401	14381
869	95509	14271
870	95620	14161
871	95728	14051
872	95838	13942
873	95948	13832
874	96053	13721
875	96161	13611
876	96271	13502
877	96381	13392
878	96487	13282
879	96597	13172
880	96703	13062
881	96822	12953
882	96938	12844
883	97050	12735
884	97154	12624
885	97258	12514
886	97365	12403
887	97472	12293
888	97578	12183
889	97687	12073
890	97794	11963
891	97900	11853
892	98010	11743
893	98115	11633
894	98222	11523
895	98327	11413
896	98431	11302
897	98541	11192
898	98650	11083
899	98758	10973
900	98864	10863
901	98973	10753
902	99079	10643
903	99184	10532
904	99291	10422
905	99400	10313
906	99519	10204
907	99627	10094
908	99735	9984
909	99844	9874
910	99953	9764
911	100057	9654
912	100164	9544
913	100272	9434
914	100381	9325
915	100488	9215
916	100595	9105
917	100705	8995
918	100817	8885
919	100923	8775
920	101031	8666
921	101139	8556
922	101249	8446
923	101357	8336
924	101465	8226
925	101576	8117
926	101684	8007
927	101793	7897
928	101901	7787
929	102010	7678
930	102117	7568
931	102226	7458
932	102340	7349
933	102449	7239
934	102554	7129
935	102661	7019
936	102770	6909
937	102878	6800
938	102985	6690
939	103090	6580
940	103193	6470
941	103301	6360
942	103409	6250
943	103513	6140
944	103619	6030
945	103731	5921
946	103838	5811
947	103946	5701
948	104051	5591
949	104158	5482
950	104267	5372
951	104375	5262
952	104480	5152
953	104584	5042
954	104689	4933
955	104796	4823
956	104904	4713
957	105011	4603
958	105116	4494
959	105222	4384
960	105330	4274
961	105438	4164
962	105548	4055
963	105654	3945
964	105761	3835
965	105866	3726
966	105973	3616
967	106082	3506
968	106188	3397
969	106312	3288
970	106457	3179
971	106583	3070
972	106714	2961
973	106857	2852
974	106983	2743
975	107113	2633
976	107250	2524
977	107374	2415
978	107490	2305
979	107613	2196
980	107725	2086
981	107837	1976
982	107945	1866
983	108070	1757
984	108205	1647
985	108340	1538
986	108472	1428
987	108599	1319
988	108710	1209
989	108822	1099
990	108937	989
991	109045	879
992	109151	769
993	109267	659
994	109383	549
995	109493	439
996	109612	329
997	109734	219
998	109866	109
999	109999	0
